Id,Saleprice
2658,143029.99648740477
2718,155429.76299081155
2414,213374.96785645708
1989,108487.63075100476
625,174306.1006315179
333,82520.0538281558
1327,109107.75442379013
858,155683.16390333802
95,176063.83225855287
1568,165610.1019368138
2482,140123.4090006212
1364,126331.6079470921
2584,153718.74735578336
818,275409.82669062633
2673,153821.68861764987
2089,107527.21127075769
1297,172492.8580524486
790,116876.00083460519
2616,197812.07373782631
720,158074.91487711918
222,151090.13141817835
557,125816.14864773277
1148,182753.91185860446
2766,167053.25302721074
534,176434.4679066038
1452,120058.63942022334
630,116139.27644419695
2648,135245.01157287642
125,161710.49545543033
1904,61442.007116061344
1670,106038.9754161751
756,97081.63879482543
717,194108.8825761314
1032,150729.96350409352
852,202417.01693121475
1731,180122.55285343496
2639,121267.40825957054
2071,95252.24594868731
1267,110323.35456693375
1851,187678.35225381382
567,162618.85821024433
2439,199971.34817696817
1898,149719.14166989567
647,167146.65259558335
2256,204897.71614822024
979,98267.00022376767
1444,205351.0738426249
2485,131154.96239688783
157,130624.0625428368
88,123100.20464046422
2003,109658.4502495856
186,194931.24672736268
1425,229102.98374045466
2695,125639.55340737698
738,99990.76350964472
395,153505.4770849325
1353,168720.07242902098
1878,140601.8941331785
390,158347.21941106778
1456,225719.67533146043
1103,325879.0654014059
1387,149235.34659025658
2070,140828.0588760524
1199,169284.80619043944
2479,170628.52254425167
501,331421.78536119964
2362,93808.77593819592
1718,208558.75317207936
2188,81810.49780668519
1483,147973.85081563942
2557,90864.55266880595
437,372815.56184363645
2224,216805.08022293347
1628,152946.20622233162
397,131510.52057114162
587,202103.56152210236
971,139355.61212235648
2611,137604.36545345065
1887,99949.08992513304
2399,389051.8922911163
2148,188826.43578315584
304,125918.52726328984
1997,125306.20951780787
2817,98678.3932535295
1431,213391.99911660468
427,363516.7967950157
263,128500.81288076154
598,179527.4999614417
2895,247266.1964701363
687,116790.48933434789
1822,133665.33823357834
2191,112300.34225688464
179,124063.373227778
1009,210392.31764305246
2010,132359.62179634927
1991,131591.83310097468
1411,194849.55414845145
1721,216212.14195433908
1144,188877.53252984554
593,205628.2254808769
575,326002.37204395526
1249,172020.80612780212
1604,122188.56320666266
1064,535928.2404403144
1923,155305.13573506157
1988,112371.05500604224
2325,163961.94085532217
114,198754.61244429002
2700,183610.3061936559
217,143272.88521167194
343,176314.3747065236
386,208528.20124321128
2005,109720.69970215879
2908,150515.35971905023
1814,232066.27313172724
2446,490567.3125655699
208,116456.291226222
1679,110428.02870715983
822,348439.0600414778
6,193028.60039601292
1781,413468.0984980356
2397,308666.3548008781
2340,319313.57494407287
1618,175696.95480201076
2843,118786.30377772186
1061,371609.4612594482
2786,114371.47961660122
1935,137520.30131711107
1341,112710.21220716008
521,249557.40318563662
2136,130541.194827316
996,216529.1283773683
227,155237.68547053778
135,190226.5116119433
1167,171530.65996460253
294,225967.5513284363
1776,214213.77845990367
540,159153.06180316728
